"","month","spp","site","rep","yearf","totC","C13","totN","pro_area","SLA"
"1",5,"Cs","82A",1,"2012",50.2909193933333,-27.2279023316667,3.78994188516667,41.9583600438313,41.7881812733333
"2",5,"Cs","82A",2,"2012",50.2294626966667,-27.3438830683333,4.0634798065,21.9714381175389,54.5996083566667
"3",5,"Cs","82a",2,"2013",48.66919448,-27.18649699,3.820391892,0.915215225510473,327.6923077
"4",5,"Pa","82A",1,"2012",49.46684786,-29.1479184233333,4.74698541216667,15.652878657955,91.4638951133333
"5",5,"Pa","82A",2,"2012",48.949420085,-28.51487442,4.28341914383333,15.6389346524176,64.7060421783333
"6",5,"Pa","82a",1,"2013",44.90606036,-28.195445,6.443471467,1.85267907551786,242.8030303
"7",5,"Pa","82a",2,"2013",50.61709745,-27.69683842,4.21195587,2.52563424041846,212.7433628
"8",7,"Cs","82A",1,"2012",50.5575548916667,-25.9588217583333,3.22800985533333,16.2826253333982,34.3492731483333
"9",7,"Cs","82A",2,"2012",50.2443414016667,-26.5334065416667,3.31978332916667,19.1281486828804,33.5909252016667
"10",7,"Cs","82a",1,"2013",47.55336129,-27.55658573,3.473465338,2.31086609153852,191.2912913
"11",7,"Cs","82a",2,"2013",54.69347825,-27.40640852,3.21576032,7.66747906545366,126.1455526
"12",7,"Pa","82A",1,"2012",45.8267936716667,-28.0378692266667,4.57346216133333,24.7737334553074,50.9371658516667
"13",7,"Pa","82A",2,"2012",47.0231078916667,-27.9860028366667,3.899224572,24.7016735072479,42.012717555
"14",7,"Pa","82a",1,"2013",53.97663504,-27.58106178,5.047360804,3.45296298267479,191.0081744
"15",7,"Pa","82a",2,"2013",52.51165157,-27.40699795,4.459360265,3.00076184626258,229.4520548
"16",10,"Cs","82a",1,"2013",50.60550202,-26.72847293,2.022680343,32.3150124136489,78.13084112
"17",10,"Cs","82a",2,"2013",51.29297934,-27.70714404,2.315722536,15.7383139966936,91.98717949
"18",10,"Pa","82A",1,"2012",47.91820457,-28.6709233333333,5.13718003966667,7.8197746094935,189.308707646667
"19",10,"Pa","82A",2,"2012",47.256865986,-29.28014405,4.0807218326,7.30330472101217,125.071773716
"20",10,"Pa","82a",1,"2013",48.37489264,-28.90206026,4.234668606,3.02637614620613,254.4585987
"21",10,"Pa","82a",2,"2013",45.32659357,-30.82042667,4.181033607,2.17722152764419,307.5
