site,date,Total N,NO3,NH4,year
1,5,104.4,102.7,1.7,2012
1,5,46.2,44.5,1.8,2012
1,5,12.8,10.7,2.2,2012
1,5,17.2,15.6,1.6,2012
2,5,9.4,7.5,1.9,2012
2,5,5,5,0,2012
2,5,18.1,15,3,2012
2,5,8.4,5.2,3.2,2012
1,7,241.4,239.6,1.7,2012
1,7,222.1,219.4,2.7,2012
1,7,121.3,120.3,1,2012
1,7,20.2,18.7,1.5,2012
2,7,4.2,1.8,2.4,2012
2,7,7,5.6,1.5,2012
2,7,5.9,2.9,3,2012
2,7,5.1,4,1.1,2012
1,10,209.5,207.9,1.6,2012
1,10,78.1,74.2,3.9,2012
1,10,72,69.5,2.5,2012
1,10,25.7,19.4,6.3,2012
2,10,19.3,2.6,16.7,2012
2,10,13.9,2.8,11.1,2012
2,10,10.2,0.6,9.6,2012
2,10,7.8,1.2,6.7,2012
1,5,94,92,2,2013
1,5,184,182,2,2013
1,5,46,44,2,2013
1,5,26,25,2,2013
2,5,8,5,3,2013
2,5,5,3,2,2013
2,5,6,3,3,2013
2,5,13,11,2,2013
1,7,237,235,2,2013
1,7,421,419,1,2013
1,7,95,93,2,2013
1,7,60,59,2,2013
2,7,8,4,4,2013
2,7,6,4,2,2013
2,7,8,4,5,2013
2,7,6,2,4,2013
1,10,542,542,1,2013
1,10,613,612,1,2013
1,10,195,194,2,2013
1,10,92,91,1,2013
2,10,8,0,8,2013
2,10,22,11,10,2013
2,10,16,0,16,2013
2,10,7,0,6,2013
,,,,,
