,place,year,month,ammonia.kg,no3.no2.kg,total soil N,ratio cation/anion
1,15,2012,5,74.53333333,53.84666667,128.38,1.384177294
2,15,2012,7,99.925,149,248.925,0.670637584
3,15,2012,10,78.12,90.26,168.38,0.865499668
4,15,2013,5,87.1,89.7,176.8,0.971014493
5,15,2013,7,33.6,39.7,73.3,0.846347607
6,15,2013,10,24.5,10.7,35.2,2.289719626
7,16,2012,5,17.055,18.672375,35.727375,0.913381399
8,16,2012,7,49.148,36.376,85.524,1.351110622
9,16,2012,10,96.3,43.515,139.815,2.21302999
10,16,2013,5,109,13.8,122.8,7.898550725
11,16,2013,7,23.9,0.263,24.163,90.87452471
12,16,2013,10,24,18,42,1.333333333
