sample,spp,trt,age,vcmax,jmax,chl,N,sla
cl1,cl,high,new,53.93,102.46,0.099319,25.82685589,137.0721271
cl1,cl,low,new,16.28,33,0.19148575,17.29353388,114.2093201
cl1,cl,high,old,44.77,120.84,0.408449375,31.16666935,126.9748264
cl1,cl,low,old,23.74,42.91,0.17129125,17.81964436,92.65471371
cl2,cl,high,new,46.23,94,0.283356625,25.41878098,163.0060293
cl2,cl,low,new,10.93,24.34,0.062146875,10.55414541,80.11548178
cl2,cl,high,old,69.84,127.44,0.4330645,33.3165125,117.8652536
cl2,cl,low,old,17.84,44.77,0.229502,15.00546087,86.95802983
cl3,cl,high,new,38.75,80.65,0.051858,27.30556839,105.1838235
cl3,cl,low,new,13.71,32.39,0.401487,14.91088292,88.30006882
cl3,cl,high,old,47.57,104.8,0.3486375,30.88517745,159.3594306
cl3,cl,low,old,25.08,42.82,0.186667,16.490745,115.1137197
cl4,cl,high,new,49.44,81.74,0.08590625,11.95301406,116.8059701
cl4,cl,low,new,12.72,40.14,0.07199475,13.73559188,73.00209518
cl4,cl,high,old,55.96,105.71,0.46263225,35.84581992,150.8224378
cl4,cl,low,old,20.11,54.44,0.356468875,15.2599842,125.1550388
cl5,cl,high,new,34.57,81.9,0.171895375,24.7568341,144.738652
cl5,cl,low,new,21.23,56.74,0.604184,24.64414411,144.4986979
cl5,cl,high,old,70.21,113.94,0.30293625,37.02338448,156.7719602
cl5,cl,low,old,20.3,48.66,0.796361625,18.13932681,128.27051
cs1,cs,high,new,51.63,112.93,0.393879125,31.41615092,219.73466
cs1,cs,low,new,41.82,99.66,0.134791375,14.32135462,79.82402913
cs1,cs,high,old,40.04,106.84,0.298890875,35.79408823,163.4965035
cs1,cs,low,old,20.84,58.68,0.122344125,8.80782454,96.04628737
cs2,cs,high,new,53.56,116,0.063028875,24.9587457,132.5889165
cs2,cs,low,new,35.44,79.07,0.058887625,16.69282212,92.27439227
cs2,cs,high,old,60.61,118.13,0.097205,26.98483551,132.3004695
cs2,cs,low,old,15.01,44.89,0.321382,16.35990451,92.20605132
cs3,cs,high,new,37.05,76.22,0.331077325,28.64321616,218.4444444
cs3,cs,low,new,27.75,94.8,0.100764,13.43536304,119.1166989
cs3,cs,high,old,58.32,98.07,0.38781925,19.0902155,168.9880305
cs3,cs,low,old,13.68,40.49,0.054593375,37.45687766,115.883434
cs4,cs,high,new,58.13,108.23,0.611370625,14.56833736,131.0554804
cs4,cs,low,new,34.91,66.48,0.17491875,28.95532458,91.33525456
cs4,cs,high,old,61.42,118.03,0.349661375,14.53647114,121.9005664
cs4,cs,low,old,26.37,68.34,0.287398,25.72542558,101.6231029
cs5,cs,high,new,44.22,93.66,0.141837,16.4942141,185.7142857
cs5,cs,low,new,36.98,68.67,0.0293515,29.70938347,89.51715375
cs5,cs,high,old,56,104.64,0.22161225,14.02514631,164.0804598
cs5,cs,low,old,20.4,50.96,0.131155375,44.99779429,96.06111244
pab,pa,high,new,77.99,130.28,0.963402125,21.08655199,243.1148527
pab,pa,high,old,75.36,111.86,0.36456025,39.72838673,252.955665
pab,pa,low,old,26.88,74.76,2.0694,19.10133015,169.3069307
pae,pa,high,new,86.36,139.97,0.8065095,53.6464962,311.002445
pae,pa,low,new,23.6,66.78,1.437813875,22.49381623,177.7035491
pae,pa,high,old,64.45,108.27,0.47555775,54.41695244,291.5848527
pae,pa,low,old,34.37,83.31,1.75901125,22.81318543,180.5704837
paf,pa,high,new,79.96,166.64,0.38158875,50.4701507,202.8547439
paf,pa,low,new,26.7,67.42,2.399385875,16.57491871,170.9161793
paf,pa,high,old,83.66,151.75,0.372692375,44.55139676,298.1818182
paf,pa,low,old,12.55,36.12,1.481191,13.91033479,227.9248178
pag,pa,high,new,84.51,151.76,0.699173875,37.77433829,204.5616536
pag,pa,low,new,23.87,62.86,1.985419125,21.55473328,117.4369059
pag,pa,high,old,81.75,150.06,0.656856,43.48794689,225.6728152
pag,pa,low,old,28.8,69.38,1.0732585,19.80909274,186.1770073
pah,pa,high,new,68.48,125.83,0.56343475,40.88183352,351.6733601
pah,pa,low,new,25.6,71.45,0.6197615,16.01418449,153.3652204
pah,pa,high,old,37.05,76.22,1.632767375,42.41411338,243.7883798
pah,pa,low,old,19.94,54.61,1.057377125,19.58711833,72.76147479
