"","Comp1","Comp2","Comp3"
"ce",-0.989676425570464,0.0236286385252561,-0.0737746604486238
"amba",-0.995878802627214,0.0583292952249988,-0.0308085874176107
"vcmax",-0.997987190556389,-0.0315127356006067,-0.0233692625150563
"jmax",-0.994595067090272,-0.0873046670413906,-0.015434038481917
"mgcl2.hr",0.110404045647259,0.946084007203251,0.221246542087144
"nr.hr.chl",0.0198931567276852,0.969860365422524,0.106643422883325
"chl",-0.925670710322053,0.107454102029645,-0.278758038826262
"ug.gfw_pr",-0.300044895559246,0.566839567242843,0.617577896488487
"SLA",-0.838755073766134,-0.449519517789069,0.248975451709818
"totN",-0.897029407102913,-0.102683586596258,0.154767974080893
"totC",0.666153842290766,-0.618723083016274,0.0607746113272022
"C13",0.966486122665547,0.0167843591062415,-0.0882870625152833
"PC",-0.957266733794452,0.0651515781407996,-0.128438734131474
"PB",-0.966850540599713,0.00725808785092109,-0.138356200018772
"PL",0.156409204336419,0.672413915266836,-0.676869472396834
